ORG,OBJECT,PROJECT,ACCOUNT,DESCRIPTION,YEAR,PER,JOURNAL,EFF DATE,SRC,T,REF1,PO/REF2,REF3,REFERENCE,AMOUNT
44301,54113,00000,1100-40-44-443-4401-0000-00000-00000-54113-00000,SW ADM WATER,2016,12,"4,615",12/30/2016,API,1,065037,,225450,9312,10.91
44330,57141,00000,1100-40-44-443-4430-0000-00000-00000-57141-00000,ST SN PLOW ID CHRG FS,2016,12,"4,382",12/30/2016,GNI,1,,,,FS CHRGS,"102,996.27"
44332,57141,00000,1100-40-44-443-4432-0000-00000-00000-57141-00000,ST SN CROS ID CHRG FS,2016,12,"4,382",12/30/2016,GNI,1,,,,FS CHRGS,"3,924.72"
44333,57141,00000,1100-40-44-443-4433-0000-00000-00000-57141-00000,ST SN BARR ID CHRG FS,2016,12,"4,382",12/30/2016,GNI,1,,,,FS CHRGS,"1,233.53"
44330,53240,00000,1100-40-44-443-4430-0000-00000-00000-53240-00000,ST SN PLOW SNOW SUP,2016,12,"4,342",12/30/2016,GEN,1,,,SALT/SAND,STR INTERD,"-7,207.50"
44330,53240,00000,1100-40-44-443-4430-0000-00000-00000-53240-00000,ST SN PLOW SNOW SUP,2016,12,"4,342",12/30/2016,GEN,1,,,SALT/SAND,STR INTERD,-652.50
44330,53240,00000,1100-40-44-443-4430-0000-00000-00000-53240-00000,ST SN PLOW SNOW SUP,2016,12,"4,342",12/30/2016,GEN,1,,,SALT/SAND,STR INTERD,"-1,050.00"
44330,53240,00000,1100-40-44-443-4430-0000-00000-00000-53240-00000,ST SN PLOW SNOW SUP,2016,12,"4,342",12/30/2016,GEN,1,,,SALT/SAND,STR INTERD,-630.00
44301,54113,00000,1100-40-44-443-4401-0000-00000-00000-54113-00000,SW ADM WATER,2016,12,"4,204",12/30/2016,API,1,065037,,223749,9104,6.34
44301,54113,00000,1100-40-44-443-4401-0000-00000-00000-54113-00000,SW ADM WATER,2016,12,"4,204",12/30/2016,API,1,065037,,223755,9104,3.96
44330,54330,00000,1100-40-44-443-4430-0000-00000-00000-54330-00000,ST SN PLOW EQUIP IMP,2016,12,"4,084",12/26/2016,API,1,007799,,221124,9009,249.03
