ORG,OBJECT,PROJECT,ACCOUNT,DESCRIPTION,YEAR,PER,JOURNAL,EFF DATE,SRC,T,REF1,PO/REF2,REF3,REFERENCE,AMOUNT
44301,52410,00000,1100-40-44-443-4401-0000-00000-00000-52410-00000,SW ADM HLTH INS B,2017,12,"4,015",12/31/2017,GNI,1,RCLFEB,,,RCLFEBINS,"-5,931.46"
44330,52410,00000,1100-40-44-443-4430-0000-00000-00000-52410-00000,ST SN PLOW HLTH INS B,2017,12,"4,015",12/31/2017,GNI,1,RCLFEB,,,RCLFEBINS,"-37,528.78"
44331,52410,00000,1100-40-44-443-4431-0000-00000-00000-52410-00000,ST SN REMV HLTH INS B,2017,12,"4,015",12/31/2017,GNI,1,RCLFEB,,,RCLFEBINS,-17.72
44332,52410,00000,1100-40-44-443-4432-0000-00000-00000-52410-00000,ST SN CROS HLTH INS B,2017,12,"4,015",12/31/2017,GNI,1,RCLFEB,,,RCLFEBINS,"-1,242.04"
44333,52410,00000,1100-40-44-443-4433-0000-00000-00000-52410-00000,ST SN BARR HLTH INS B,2017,12,"4,015",12/31/2017,GNI,1,RCLFEB,,,RCLFEBINS,-246.84
44330,57141,00000,1100-40-44-443-4430-0000-00000-00000-57141-00000,ST SN PLOW ID CHRG FS,2017,12,"3,888",12/30/2017,GNI,1,,,,FS CHRGS,"43,376.90"
44332,57141,00000,1100-40-44-443-4432-0000-00000-00000-57141-00000,ST SN CROS ID CHRG FS,2017,12,"3,888",12/30/2017,GNI,1,,,,FS CHRGS,380.09
44333,57141,00000,1100-40-44-443-4433-0000-00000-00000-57141-00000,ST SN BARR ID CHRG FS,2017,12,"3,888",12/30/2017,GNI,1,,,,FS CHRGS,428.96
44330,57141,00000,1100-40-44-443-4430-0000-00000-00000-57141-00000,ST SN PLOW ID CHRG FS,2017,12,"3,888",12/30/2017,GNI,1,,,,FS CHRGS,392.25
44301,54113,00000,1100-40-44-443-4401-0000-00000-00000-54113-00000,SW ADM WATER,2017,12,"3,886",12/30/2017,API,1,065037,,327063,7271,111.75
44301,54113,00000,1100-40-44-443-4401-0000-00000-00000-54113-00000,SW ADM WATER,2017,12,"3,886",12/30/2017,API,1,065037,,327072,7271,278.54
44301,54113,00000,1100-40-44-443-4401-0000-00000-00000-54113-00000,SW ADM WATER,2017,12,"3,886",12/30/2017,API,1,065037,,327078,7271,6.34
44301,54113,00000,1100-40-44-443-4401-0000-00000-00000-54113-00000,SW ADM WATER,2017,12,"3,886",12/30/2017,API,1,065037,,327107,7271,108.66
44330,54210,00000,1100-40-44-443-4430-0000-00000-00000-54210-00000,ST SN PLOW BUILD IMPR,2017,12,"3,720",12/26/2017,API,1,021212,,326458,7176,288.39
44332,54210,00000,1100-40-44-443-4432-0000-00000-00000-54210-00000,ST SN CROS BUILD IMPR,2017,12,"3,720",12/26/2017,API,1,021212,,326458,7176,32.04
44333,54210,00000,1100-40-44-443-4433-0000-00000-00000-54210-00000,ST SN BARR BUILD IMPR,2017,12,"3,720",12/26/2017,API,1,021212,,326458,7176,16.02
44330,54210,00000,1100-40-44-443-4430-0000-00000-00000-54210-00000,ST SN PLOW BUILD IMPR,2017,12,"3,720",12/26/2017,API,1,021212,,326459,7176,27.00
44332,54210,00000,1100-40-44-443-4432-0000-00000-00000-54210-00000,ST SN CROS BUILD IMPR,2017,12,"3,720",12/26/2017,API,1,021212,,326459,7176,3.00
44333,54210,00000,1100-40-44-443-4433-0000-00000-00000-54210-00000,ST SN BARR BUILD IMPR,2017,12,"3,720",12/26/2017,API,1,021212,,326459,7176,1.50
44330,54210,00000,1100-40-44-443-4430-0000-00000-00000-54210-00000,ST SN PLOW BUILD IMPR,2017,12,"3,720",12/26/2017,API,1,021212,,326488,7176,61.20
44332,54210,00000,1100-40-44-443-4432-0000-00000-00000-54210-00000,ST SN CROS BUILD IMPR,2017,12,"3,720",12/26/2017,API,1,021212,,326488,7176,6.80
44333,54210,00000,1100-40-44-443-4433-0000-00000-00000-54210-00000,ST SN BARR BUILD IMPR,2017,12,"3,720",12/26/2017,API,1,021212,,326488,7176,3.40
44330,54210,00000,1100-40-44-443-4430-0000-00000-00000-54210-00000,ST SN PLOW BUILD IMPR,2017,12,"3,720",12/26/2017,API,1,022202,,326485,7176,454.76
44332,54210,00000,1100-40-44-443-4432-0000-00000-00000-54210-00000,ST SN CROS BUILD IMPR,2017,12,"3,720",12/26/2017,API,1,022202,,326485,7176,50.53
44333,54210,00000,1100-40-44-443-4433-0000-00000-00000-54210-00000,ST SN BARR BUILD IMPR,2017,12,"3,720",12/26/2017,API,1,022202,,326485,7176,25.26
44330,54210,00000,1100-40-44-443-4430-0000-00000-00000-54210-00000,ST SN PLOW BUILD IMPR,2017,12,"3,720",12/26/2017,API,1,031039,,326489,7176,900.00
44332,54210,00000,1100-40-44-443-4432-0000-00000-00000-54210-00000,ST SN CROS BUILD IMPR,2017,12,"3,720",12/26/2017,API,1,031039,,326489,7176,100.00
44333,54210,00000,1100-40-44-443-4433-0000-00000-00000-54210-00000,ST SN BARR BUILD IMPR,2017,12,"3,720",12/26/2017,API,1,031039,,326489,7176,50.00
44330,53140,00000,1100-40-44-443-4430-0000-00000-00000-53140-00000,ST SN PLOW HARDWA SUP,2017,12,"3,720",12/26/2017,API,1,120899,,326456,7176,2.20
44332,53140,00000,1100-40-44-443-4432-0000-00000-00000-53140-00000,ST SN CROS HARDWA SUP,2017,12,"3,720",12/26/2017,API,1,120899,,326456,7176,0.24
44333,53140,00000,1100-40-44-443-4433-0000-00000-00000-53140-00000,ST SN BARR HARDWA SUP,2017,12,"3,720",12/26/2017,API,1,120899,,326456,7176,0.12
44330,54210,00000,1100-40-44-443-4430-0000-00000-00000-54210-00000,ST SN PLOW BUILD IMPR,2017,12,"3,720",12/26/2017,API,1,612001,,326474,7176,6.87
44332,54210,00000,1100-40-44-443-4432-0000-00000-00000-54210-00000,ST SN CROS BUILD IMPR,2017,12,"3,720",12/26/2017,API,1,612001,,326474,7176,0.76
44333,54210,00000,1100-40-44-443-4433-0000-00000-00000-54210-00000,ST SN BARR BUILD IMPR,2017,12,"3,720",12/26/2017,API,1,612001,,326474,7176,0.38
44332,53210,00000,1100-40-44-443-4432-0000-00000-00000-53210-00000,ST SN CROS WRK SUP,2017,12,"3,720",12/26/2017,API,1,700411,,326484,7176,2.47
44333,53210,00000,1100-40-44-443-4433-0000-00000-00000-53210-00000,ST SN BARR WRK SUP,2017,12,"3,720",12/26/2017,API,1,700411,,326484,7176,1.24
44332,53210,00000,1100-40-44-443-4432-0000-00000-00000-53210-00000,ST SN CROS WRK SUP,2017,12,"3,720",12/26/2017,API,1,702372,,326460,7176,"1,236.76"
44330,53210,00000,1100-40-44-443-4430-0000-00000-00000-53210-00000,ST SN PLOW WRK SUP,2017,12,"3,720",12/26/2017,API,1,700075,,326490,7176,35.99
44332,53210,00000,1100-40-44-443-4432-0000-00000-00000-53210-00000,ST SN CROS WRK SUP,2017,12,"3,720",12/26/2017,API,1,700075,,326490,7176,4.00
44333,53210,00000,1100-40-44-443-4433-0000-00000-00000-53210-00000,ST SN BARR WRK SUP,2017,12,"3,720",12/26/2017,API,1,700075,,326490,7176,2.00
44330,53210,00000,1100-40-44-443-4430-0000-00000-00000-53210-00000,ST SN PLOW WRK SUP,2017,12,"3,720",12/26/2017,API,1,700144,,326468,7176,"1,537.20"
44330,53210,00000,1100-40-44-443-4430-0000-00000-00000-53210-00000,ST SN PLOW WRK SUP,2017,12,"3,720",12/26/2017,API,1,700173,,326480,7176,67.31
44332,53210,00000,1100-40-44-443-4432-0000-00000-00000-53210-00000,ST SN CROS WRK SUP,2017,12,"3,720",12/26/2017,API,1,700173,,326480,7176,7.48
44333,53210,00000,1100-40-44-443-4433-0000-00000-00000-53210-00000,ST SN BARR WRK SUP,2017,12,"3,720",12/26/2017,API,1,700173,,326480,7176,3.74
44330,53210,00000,1100-40-44-443-4430-0000-00000-00000-53210-00000,ST SN PLOW WRK SUP,2017,12,"3,720",12/26/2017,API,1,700173,,326486,7176,44.93
44332,53210,00000,1100-40-44-443-4432-0000-00000-00000-53210-00000,ST SN CROS WRK SUP,2017,12,"3,720",12/26/2017,API,1,700173,,326486,7176,4.99
44333,53210,00000,1100-40-44-443-4433-0000-00000-00000-53210-00000,ST SN BARR WRK SUP,2017,12,"3,720",12/26/2017,API,1,700173,,326486,7176,2.50
44330,53210,00000,1100-40-44-443-4430-0000-00000-00000-53210-00000,ST SN PLOW WRK SUP,2017,12,"3,720",12/26/2017,API,1,700173,,326487,7176,65.40
44332,53210,00000,1100-40-44-443-4432-0000-00000-00000-53210-00000,ST SN CROS WRK SUP,2017,12,"3,720",12/26/2017,API,1,700173,,326487,7176,7.27
44333,53210,00000,1100-40-44-443-4433-0000-00000-00000-53210-00000,ST SN BARR WRK SUP,2017,12,"3,720",12/26/2017,API,1,700173,,326487,7176,3.63
44330,53210,00000,1100-40-44-443-4430-0000-00000-00000-53210-00000,ST SN PLOW WRK SUP,2017,12,"3,720",12/26/2017,API,1,700251,,326455,7176,97.17
44332,53210,00000,1100-40-44-443-4432-0000-00000-00000-53210-00000,ST SN CROS WRK SUP,2017,12,"3,720",12/26/2017,API,1,700251,,326455,7176,10.80
44333,53210,00000,1100-40-44-443-4433-0000-00000-00000-53210-00000,ST SN BARR WRK SUP,2017,12,"3,720",12/26/2017,API,1,700251,,326455,7176,5.40
44330,53210,00000,1100-40-44-443-4430-0000-00000-00000-53210-00000,ST SN PLOW WRK SUP,2017,12,"3,720",12/26/2017,API,1,700411,,326483,7176,5.55
44332,53210,00000,1100-40-44-443-4432-0000-00000-00000-53210-00000,ST SN CROS WRK SUP,2017,12,"3,720",12/26/2017,API,1,700411,,326483,7176,0.62
44333,53210,00000,1100-40-44-443-4433-0000-00000-00000-53210-00000,ST SN BARR WRK SUP,2017,12,"3,720",12/26/2017,API,1,700411,,326483,7176,0.31
44330,53210,00000,1100-40-44-443-4430-0000-00000-00000-53210-00000,ST SN PLOW WRK SUP,2017,12,"3,720",12/26/2017,API,1,700411,,326484,7176,22.25
44301,54113,00000,1100-40-44-443-4401-0000-00000-00000-54113-00000,SW ADM WATER,2017,12,"3,683",12/30/2017,API,1,065037,,326345,7159,360.56
44301,54115,00000,1100-40-44-443-4401-0000-00000-00000-54115-00000,SW ADM STORMWATER,2017,12,"3,683",12/30/2017,API,1,065037,,326398,7159,30.02
44301,54112,00000,1100-40-44-443-4401-0000-00000-00000-54112-00000,SW ADM ELECTRICIT,2017,12,"3,637",12/15/2017,API,1,052829,,326109,7126,27.38
44332,53230,00000,1100-40-44-443-4432-0000-00000-00000-53230-00000,ST SN CROS MEDCAL SUP,2017,12,"3,373",12/26/2017,API,1,700108,,324864,7036,0.30
44333,53230,00000,1100-40-44-443-4433-0000-00000-00000-53230-00000,ST SN BARR MEDCAL SUP,2017,12,"3,373",12/26/2017,API,1,700108,,324864,7036,0.15
44330,53210,00000,1100-40-44-443-4430-0000-00000-00000-53210-00000,ST SN PLOW WRK SUP,2017,12,"3,373",12/26/2017,API,1,700108,,324865,7036,35.95
44332,53210,00000,1100-40-44-443-4432-0000-00000-00000-53210-00000,ST SN CROS WRK SUP,2017,12,"3,373",12/26/2017,API,1,700108,,324865,7036,3.99
44333,53210,00000,1100-40-44-443-4433-0000-00000-00000-53210-00000,ST SN BARR WRK SUP,2017,12,"3,373",12/26/2017,API,1,700108,,324865,7036,2.00
44330,53210,00000,1100-40-44-443-4430-0000-00000-00000-53210-00000,ST SN PLOW WRK SUP,2017,12,"3,373",12/26/2017,API,1,700108,,325111,7036,5.29
44332,53210,00000,1100-40-44-443-4432-0000-00000-00000-53210-00000,ST SN CROS WRK SUP,2017,12,"3,373",12/26/2017,API,1,700108,,325111,7036,0.59
44333,53210,00000,1100-40-44-443-4433-0000-00000-00000-53210-00000,ST SN BARR WRK SUP,2017,12,"3,373",12/26/2017,API,1,700108,,325111,7036,0.29
44330,53210,00000,1100-40-44-443-4430-0000-00000-00000-53210-00000,ST SN PLOW WRK SUP,2017,12,"3,373",12/26/2017,API,1,700108,,325112,7036,7.28
44332,53210,00000,1100-40-44-443-4432-0000-00000-00000-53210-00000,ST SN CROS WRK SUP,2017,12,"3,373",12/26/2017,API,1,700108,,325112,7036,0.81
44333,53210,00000,1100-40-44-443-4433-0000-00000-00000-53210-00000,ST SN BARR WRK SUP,2017,12,"3,373",12/26/2017,API,1,700108,,325112,7036,0.40
44330,53210,00000,1100-40-44-443-4430-0000-00000-00000-53210-00000,ST SN PLOW WRK SUP,2017,12,"3,373",12/26/2017,API,1,700131,,324922,7036,3.23
44332,53210,00000,1100-40-44-443-4432-0000-00000-00000-53210-00000,ST SN CROS WRK SUP,2017,12,"3,373",12/26/2017,API,1,700131,,324922,7036,0.36
44333,53210,00000,1100-40-44-443-4433-0000-00000-00000-53210-00000,ST SN BARR WRK SUP,2017,12,"3,373",12/26/2017,API,1,700131,,324922,7036,0.18
44301,53245,00000,1100-40-44-443-4401-0000-00000-00000-53245-00000,SW ADM UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,700140,,324975,7036,3.40
44330,53245,00000,1100-40-44-443-4430-0000-00000-00000-53245-00000,ST SN PLOW UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,700140,,324975,7036,22.09
44331,53245,00000,1100-40-44-443-4431-0000-00000-00000-53245-00000,ST SN REMV UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,700140,,324975,7036,1.70
44332,53245,00000,1100-40-44-443-4432-0000-00000-00000-53245-00000,ST SN CROS UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,700140,,324975,7036,3.40
44333,53245,00000,1100-40-44-443-4433-0000-00000-00000-53245-00000,ST SN BARR UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,700140,,324975,7036,3.40
44334,54130,00000,1100-40-44-443-4434-0000-00000-00000-54130-00000,ST SN MISC SY COM INT,2017,12,"3,373",12/26/2017,API,1,700172,,324825,7036,71.20
44301,53245,00000,1100-40-44-443-4401-0000-00000-00000-53245-00000,SW ADM UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,701023,,324993,7036,0.81
44330,53245,00000,1100-40-44-443-4430-0000-00000-00000-53245-00000,ST SN PLOW UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,701023,,324993,7036,5.28
44331,53245,00000,1100-40-44-443-4431-0000-00000-00000-53245-00000,ST SN REMV UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,701023,,324993,7036,0.41
44332,53245,00000,1100-40-44-443-4432-0000-00000-00000-53245-00000,ST SN CROS UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,701023,,324993,7036,0.81
44333,53245,00000,1100-40-44-443-4433-0000-00000-00000-53245-00000,ST SN BARR UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,701023,,324993,7036,0.81
44301,53245,00000,1100-40-44-443-4401-0000-00000-00000-53245-00000,SW ADM UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,701359,,324979,7036,3.90
44330,53245,00000,1100-40-44-443-4430-0000-00000-00000-53245-00000,ST SN PLOW UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,701359,,324979,7036,25.35
44331,53245,00000,1100-40-44-443-4431-0000-00000-00000-53245-00000,ST SN REMV UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,701359,,324979,7036,1.95
44332,53245,00000,1100-40-44-443-4432-0000-00000-00000-53245-00000,ST SN CROS UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,701359,,324979,7036,3.90
44333,53245,00000,1100-40-44-443-4433-0000-00000-00000-53245-00000,ST SN BARR UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,701359,,324979,7036,3.90
44301,53245,00000,1100-40-44-443-4401-0000-00000-00000-53245-00000,SW ADM UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,704266,,325006,7036,32.79
44330,53245,00000,1100-40-44-443-4430-0000-00000-00000-53245-00000,ST SN PLOW UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,704266,,325006,7036,213.13
44331,53245,00000,1100-40-44-443-4431-0000-00000-00000-53245-00000,ST SN REMV UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,704266,,325006,7036,16.39
44332,53245,00000,1100-40-44-443-4432-0000-00000-00000-53245-00000,ST SN CROS UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,704266,,325006,7036,32.79
44333,53245,00000,1100-40-44-443-4433-0000-00000-00000-53245-00000,ST SN BARR UNIFRM SUP,2017,12,"3,373",12/26/2017,API,1,704266,,325006,7036,32.79
44330,53230,00000,1100-40-44-443-4430-0000-00000-00000-53230-00000,ST SN PLOW MEDCAL SUP,2017,12,"3,373",12/26/2017,API,1,612687,,324853,7036,11.36
44332,53230,00000,1100-40-44-443-4432-0000-00000-00000-53230-00000,ST SN CROS MEDCAL SUP,2017,12,"3,373",12/26/2017,API,1,612687,,324853,7036,1.26
44333,53230,00000,1100-40-44-443-4433-0000-00000-00000-53230-00000,ST SN BARR MEDCAL SUP,2017,12,"3,373",12/26/2017,API,1,612687,,324853,7036,0.63
44330,53230,00000,1100-40-44-443-4430-0000-00000-00000-53230-00000,ST SN PLOW MEDCAL SUP,2017,12,"3,373",12/26/2017,API,1,612687,,325081,7036,8.44
44332,53230,00000,1100-40-44-443-4432-0000-00000-00000-53230-00000,ST SN CROS MEDCAL SUP,2017,12,"3,373",12/26/2017,API,1,612687,,325081,7036,0.94
44333,53230,00000,1100-40-44-443-4433-0000-00000-00000-53230-00000,ST SN BARR MEDCAL SUP,2017,12,"3,373",12/26/2017,API,1,612687,,325081,7036,0.47
44301,54810,00000,1100-40-44-443-4401-0000-00000-00000-54810-00000,SW ADM OTHR EXP,2017,12,"3,373",12/26/2017,API,1,615965,,324890,7036,12.58
44330,53210,00000,1100-40-44-443-4430-0000-00000-00000-53210-00000,ST SN PLOW WRK SUP,2017,12,"3,373",12/26/2017,API,1,700108,,324812,7036,8.44
44332,53210,00000,1100-40-44-443-4432-0000-00000-00000-53210-00000,ST SN CROS WRK SUP,2017,12,"3,373",12/26/2017,API,1,700108,,324812,7036,0.94
44333,53210,00000,1100-40-44-443-4433-0000-00000-00000-53210-00000,ST SN BARR WRK SUP,2017,12,"3,373",12/26/2017,API,1,700108,,324812,7036,0.47
44330,53210,00000,1100-40-44-443-4430-0000-00000-00000-53210-00000,ST SN PLOW WRK SUP,2017,12,"3,373",12/26/2017,API,1,700108,,324819,7036,8.96
44332,53210,00000,1100-40-44-443-4432-0000-00000-00000-53210-00000,ST SN CROS WRK SUP,2017,12,"3,373",12/26/2017,API,1,700108,,324819,7036,1.00
44333,53210,00000,1100-40-44-443-4433-0000-00000-00000-53210-00000,ST SN BARR WRK SUP,2017,12,"3,373",12/26/2017,API,1,700108,,324819,7036,0.50
44330,53230,00000,1100-40-44-443-4430-0000-00000-00000-53230-00000,ST SN PLOW MEDCAL SUP,2017,12,"3,373",12/26/2017,API,1,700108,,324864,7036,2.72
44301,51110,00000,1100-40-44-443-4401-0000-00000-00000-51110-00000,SW ADM PERM WAGES,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,"18,992.88"
44301,51120,00000,1100-40-44-443-4401-0000-00000-00000-51120-00000,SW ADM PRMIUM PAY,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,801.38
44301,51310,00000,1100-40-44-443-4401-0000-00000-00000-51310-00000,SW ADM OVRTM PERM,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,"3,895.01"
44301,52410,00000,1100-40-44-443-4401-0000-00000-00000-52410-00000,SW ADM HLTH INS B,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,"5,931.46"
44301,52510,00000,1100-40-44-443-4401-0000-00000-00000-52510-00000,SW ADM WI RET SY,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,"1,587.17"
44301,52610,00000,1100-40-44-443-4401-0000-00000-00000-52610-00000,SW ADM FICA MEDIC,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,"1,772.02"
44330,51110,00000,1100-40-44-443-4430-0000-00000-00000-51110-00000,ST SN PLOW PERM WAGES,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,"75,032.90"
44330,51120,00000,1100-40-44-443-4430-0000-00000-00000-51120-00000,ST SN PLOW PRMIUM PAY,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,"10,009.63"
44330,51130,00000,1100-40-44-443-4430-0000-00000-00000-51130-00000,ST SN PLOW WKR COMP W,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,277.54
44330,51310,00000,1100-40-44-443-4430-0000-00000-00000-51310-00000,ST SN PLOW OVRTM PERM,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,"50,818.19"
44330,52410,00000,1100-40-44-443-4430-0000-00000-00000-52410-00000,ST SN PLOW HLTH INS B,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,"37,528.78"
44330,52510,00000,1100-40-44-443-4430-0000-00000-00000-52510-00000,ST SN PLOW WI RET SY,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,"9,102.70"
44330,52610,00000,1100-40-44-443-4430-0000-00000-00000-52610-00000,ST SN PLOW FICA MEDIC,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,"10,129.48"
44330,53235,00000,1100-40-44-443-4430-0000-00000-00000-53235-00000,ST SN PLOW SAFETY SUP,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,401.76
44331,51110,00000,1100-40-44-443-4431-0000-00000-00000-51110-00000,ST SN REMV PERM WAGES,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,24.20
44331,52410,00000,1100-40-44-443-4431-0000-00000-00000-52410-00000,ST SN REMV HLTH INS B,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,17.72
44331,52510,00000,1100-40-44-443-4431-0000-00000-00000-52510-00000,ST SN REMV WI RET SY,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,1.62
44331,52610,00000,1100-40-44-443-4431-0000-00000-00000-52610-00000,ST SN REMV FICA MEDIC,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,1.81
44332,51110,00000,1100-40-44-443-4432-0000-00000-00000-51110-00000,ST SN CROS PERM WAGES,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,"2,648.48"
44332,51120,00000,1100-40-44-443-4432-0000-00000-00000-51120-00000,ST SN CROS PRMIUM PAY,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,18.00
44332,51310,00000,1100-40-44-443-4432-0000-00000-00000-51310-00000,ST SN CROS OVRTM PERM,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,534.80
44332,52410,00000,1100-40-44-443-4432-0000-00000-00000-52410-00000,ST SN CROS HLTH INS B,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,"1,242.04"
44332,52510,00000,1100-40-44-443-4432-0000-00000-00000-52510-00000,ST SN CROS WI RET SY,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,214.47
44332,52610,00000,1100-40-44-443-4432-0000-00000-00000-52610-00000,ST SN CROS FICA MEDIC,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,239.60
44333,51110,00000,1100-40-44-443-4433-0000-00000-00000-51110-00000,ST SN BARR PERM WAGES,2017,12,"3,363",12/31/2017,PRJ,1,1801,11801,11801,PR1801,797.56
